locationid,study_county,latitude,longitude,ctadi_score,refined_need_percentile,trial_access_disadvantage_percentile,weighted_avg_miles_reduced,weighted_distance_reduction,target_tracts_improved,target_tracts_within_5mi_after,target_tracts_within_10mi_after,modeled_depression_burden_within_5mi_after,modeled_depression_burden_within_10mi_after,critical_deserts_within_5mi_after,critical_deserts_within_10mi_after,optimization_rank
34013009500,"Essex County, NJ",40.7741049,-74.1674883,83.35439188530803,79.37190082644628,87.53670473083197,5.386056356766906,164601.26474714052,61,43,58,24220.799,32168.51,6,8,45
34013002600,"Essex County, NJ",40.739782,-74.2086392,59.25303168601754,39.17355371900826,89.6247960848287,5.384269891138082,164546.66923560968,54,46,50,25891.944999999996,28353.621,6,6,46
34013010400,"Essex County, NJ",40.7719308,-74.2103109,89.947445321868,85.68595041322314,94.42088091353997,5.383501407821767,164523.1839028497,61,44,55,24685.101,30579.142,6,8,47
34013011200,"Essex County, NJ",40.7597713,-74.2160036,81.08972266668788,69.52066115702479,94.58401305057096,5.380894452701464,164443.51371718562,60,45,52,25250.504999999997,29372.277000000002,6,7,48
34013003800,"Essex County, NJ",40.7307815,-74.1997539,85.46852255842977,82.31404958677686,88.74388254486134,5.3805865944082445,164434.10537440746,52,46,50,25891.944999999996,28353.621,6,6,49
34017013300,"Hudson County, NJ",40.7589647,-74.1592232,67.14653623336257,53.5206611570248,84.24143556280588,5.375400900267655,164275.62730481572,61,44,52,24333.369,29372.277000000002,6,7,50
34013023100,"Essex County, NJ",40.7349696,-74.2058432,76.59636295371284,65.78512396694215,89.18433931484503,5.368691000840793,164070.56856446297,54,46,50,25891.944999999996,28353.621,6,6,51
34013001900,"Essex County, NJ",40.7453469,-74.2135065,85.46011763948935,78.87603305785123,92.59380097879281,5.362542728250361,163882.6734929374,59,45,50,25250.504999999997,28353.621,6,6,52
34013003900,"Essex County, NJ",40.7270499,-74.1945932,85.82365122062883,83.30578512396694,88.41761827079935,5.356722839739126,163704.81404509983,48,46,50,25891.944999999996,28353.621,6,6,53
34013006700,"Essex County, NJ",40.7253517,-74.18008,86.04741940624868,85.0909090909091,87.01468189233279,5.34866706683951,163458.62456620095,48,46,50,25891.944999999996,28353.621,6,6,54
34013010100,"Essex County, NJ",40.7781914,-74.206363,29.831699550761517,9.454545454545455,94.12724306688418,5.313372819953589,162380.01021631178,61,44,58,24685.101,32168.51,6,8,55
34013010500,"Essex County, NJ",40.7697668,-74.2164122,81.3803633519369,69.85123966942149,94.81239804241436,5.308230214378148,162222.8489603309,61,45,54,25250.504999999997,30097.716999999997,6,7,56
34013011700,"Essex County, NJ",40.7516645,-74.2187485,68.92249038899031,50.67768595041322,93.73572593800978,5.3057111408036555,162145.86448989707,59,45,50,25250.504999999997,28353.621,6,6,57
34013011600,"Essex County, NJ",40.7557156,-74.2194905,70.57164255975839,52.892561983471076,94.15986949429038,5.305474630391313,162138.63658316553,60,45,51,25250.504999999997,28903.781,6,7,58
34013022700,"Essex County, NJ",40.7226675,-74.187981,83.79632518133413,80.72727272727272,86.98205546492659,5.296519638360979,161864.96640291545,48,46,50,25891.944999999996,28353.621,6,6,59
34017013600,"Hudson County, NJ",40.748205,-74.1565017,62.34120241637749,47.00826446280992,82.67536704730833,5.293890086262151,161784.60563939658,60,44,51,24333.369,28903.781,6,7,60
34017013800,"Hudson County, NJ",40.7397282,-74.1588124,34.85569845406903,14.677685950413222,82.77324632952691,5.284426115932846,161495.38076268768,60,45,50,25250.504999999997,28353.621,6,6,61
34013007900,"Essex County, NJ",40.732585,-74.1620882,88.82080195761544,94.3801652892562,83.5889070146819,5.2826638700442645,161441.52542162882,55,46,50,25891.944999999996,28353.621,6,6,62
34013013300,"Essex County, NJ",40.7384217,-74.2139934,72.48385781448776,58.578512396694215,89.69004893964112,5.279778487268034,161353.3463119449,54,46,50,25891.944999999996,28353.621,6,6,63
34013007800,"Essex County, NJ",40.7272878,-74.1670688,86.39544985674263,89.15702479338843,83.71941272430668,5.279023925829223,161330.28644050448,50,46,50,25891.944999999996,28353.621,6,6,64
34017013200,"Hudson County, NJ",40.7577922,-74.1548596,74.13675705373228,65.42148760330578,84.01305057096248,5.278145284401774,161303.43460668818,61,43,52,23617.733999999997,29372.277000000002,5,7,65
34013011300,"Essex County, NJ",40.7642198,-74.2203846,84.47594890661024,75.00826446280992,95.13866231647634,5.275544800331485,161223.96218037634,60,45,52,25250.504999999997,29372.277000000002,6,7,66
34013015800,"Essex County, NJ",40.7847677,-74.1881044,61.22712087448268,40.52892561983471,92.49592169657423,5.267797339243065,160987.19490404977,61,42,62,23692.244,34035.596,6,8,67
34013015700,"Essex County, NJ",40.7838707,-74.1964872,46.19253204634374,22.84297520661157,93.4094616639478,5.263697229659961,160861.8929802901,61,42,61,23692.244,33668.998999999996,6,8,68
34013009600,"Essex County, NJ",40.7728435,-74.1584934,88.08881745771737,91.93388429752066,84.40456769983686,5.260662974903252,160769.16424939004,61,40,57,22059.472999999998,31737.464,5,8,69
34013003500,"Essex County, NJ",40.7332973,-74.2116682,87.41051459229118,85.71900826446281,89.13539967373573,5.2550491928430745,160597.6035441332,53,46,50,25891.944999999996,28353.621,6,6,70
34013003700,"Essex County, NJ",40.7287222,-74.2078113,85.0540119336214,81.48760330578513,88.77650897226754,5.241313689747636,160177.8379435362,48,46,50,25891.944999999996,28353.621,6,6,71
34013014700,"Essex County, NJ",40.7851938,-74.1790842,81.18943743858709,72.72727272727273,90.63621533442088,5.238193161864605,160082.47265171557,61,42,62,23692.244,34035.596,6,8,72
34013000100,"Essex County, NJ",40.7824422,-74.1691008,79.81378567620516,72.52892561983471,87.83034257748777,5.2288936107713555,159798.27253011704,61,40,61,22059.472999999998,33668.998999999996,5,8,73
34013009700,"Essex County, NJ",40.7772693,-74.1600205,86.32343718150928,87.10743801652893,85.54649265905383,5.215748037427976,159396.53555322337,61,40,59,22059.472999999998,32664.518999999997,5,8,74
34013002500,"Essex County, NJ",40.7437187,-74.2209241,74.54748733949013,59.933884297520656,92.72430668841763,5.198728349738942,158876.4032089532,56,45,50,25250.504999999997,28353.621,6,6,75
34017013000,"Hudson County, NJ",40.7586956,-74.1515496,67.53933486700296,55.768595041322314,81.79445350734095,5.195796703941309,158786.8102722817,61,43,52,23617.733999999997,29372.277000000002,5,7,76
34017013100,"Hudson County, NJ",40.7654927,-74.1525094,59.52998328444164,43.239669421487605,81.95758564437195,5.194895269570043,158759.26187178819,61,41,54,22588.028,30097.716999999997,5,7,77
34013006900,"Essex County, NJ",40.7236411,-74.1663917,89.2125365640592,95.43801652892562,83.39314845024471,5.194476292724034,158746.45767625349,48,46,50,25891.944999999996,28353.621,6,6,78
34013004100,"Essex County, NJ",40.7246108,-74.2059732,77.13811761242539,67.27272727272727,88.45024469820555,5.19144128539837,158653.70594637352,48,46,50,25891.944999999996,28353.621,6,6,79
34013005700,"Essex County, NJ",40.7182857,-74.1846161,86.44963832991768,86.0495867768595,86.85154975530179,5.183307646966349,158405.13684790418,46,46,50,25891.944999999996,28353.621,6,6,80
34013023200,"Essex County, NJ",40.7187885,-74.1936395,91.16970504153649,94.77685950413223,87.69983686786297,5.179255724145671,158281.3075418659,46,46,50,25891.944999999996,28353.621,6,6,81
34013007700,"Essex County, NJ",40.7282826,-74.1598126,82.29829309541303,81.0909090909091,83.5236541598695,5.170963430679055,158027.88984590277,51,46,50,25891.944999999996,28353.621,6,6,82
34013010000,"Essex County, NJ",40.7796727,-74.2147834,62.46735412615338,41.057851239669425,95.04078303425774,5.16280177942933,157778.46465813214,61,43,58,24124.932999999997,32168.51,6,8,83
34013011800,"Essex County, NJ",40.7479509,-74.224278,63.44257266130867,43.074380165289256,93.442088091354,5.162350681353182,157764.67881763206,58,45,50,25250.504999999997,28353.621,6,6,84
34013018400,"Essex County, NJ",40.7679202,-74.2243989,65.46324525702586,44.8595041322314,95.53017944535074,5.1611304341463216,157727.38729666587,60,45,53,25250.504999999997,29651.167,6,7,85
34013011500,"Essex County, NJ",40.7557179,-74.2259294,45.25830395132772,21.68595041322314,94.45350734094616,5.158992576044536,157662.05301048417,58,45,50,25250.504999999997,28353.621,6,6,86
