year,stateabbr,countyfips,locationname,locationid,measure,measureid,data_value_type,data_value,low_confidence_limit,high_confidence_limit,totalpop18plus,geolocation,study_county,longitude,latitude,estimated_adults_with_depression,prevalence_percentile,case_burden_percentile,preliminary_need_score,high_need_top20,high_need_top10,poverty_pct,no_vehicle_pct,uninsured_pct,no_internet_pct,median_household_income,acs_complete,acs_all_missing,poverty_vuln_percentile,no_vehicle_vuln_percentile,uninsured_vuln_percentile,no_internet_vuln_percentile,low_income_vuln_percentile,socioeconomic_vulnerability_score,socioeconomic_vulnerability_percentile,high_vulnerability_top20,high_vulnerability_top10,depression_burden_score,refined_need_score,refined_need_percentile,refined_high_need_top20,refined_high_need_top10,high_burden_and_vulnerability_top20,high_burden_and_vulnerability_top10,nearest_trial_site_miles,nearest_trial_zip,recruiting_zips_within_5mi,unique_trials_within_5mi,recruiting_zips_within_10mi,unique_trials_within_10mi,recruiting_zips_within_25mi,unique_trials_within_25mi,recruiting_zips_within_50mi,unique_trials_within_50mi,no_trial_within_5mi,no_trial_within_10mi,no_trial_within_25mi,nearest_site_distance_disadvantage_pct,trial_opportunity_disadvantage_pct,trial_access_disadvantage_score,trial_access_disadvantage_percentile,poor_access_top20,poor_access_top10,high_need_poor_access_top20,high_need_poor_access_top10,ctadi_score,ctadi_percentile,ctadi_additive_sensitivity,ctadi_top20,ctadi_top10,ctadi_top5,critical_desert,high_priority_desert,ctadi_category
2023,NY,36061,36061009903,36061009903,Depression among adults,DEPRESSION,Crude prevalence,17.4,15.7,19.4,2173,"{'type': 'Point', 'coordinates': [-74.0024316, 40.7577195]}","New York County, NY",-74.0024316,40.7577195,378.102,78.72756933115824,32.95269168026101,55.840130505709624,False,False,8.259385665529011,79.57351290684625,7.030716723549488,1.3468013468013467,187596.0,True,False,30.14876033057851,92.49586776859505,61.09090909090909,13.421487603305785,5.619834710743802,40.555371900826444,33.917355371900825,False,False,55.840130505709624,44.878742938805225,43.17355371900826,False,False,False,False,0.5729938618113688,10036,13.0,38.0,16.0,41.0,27.0,51.0,33.0,52.0,False,False,False,7.601957585644372,32.93637846655791,20.26916802610114,10.179445350734094,False,False,False,False,20.963845798889746,15.041322314049587,26.676499534871176,False,False,False,False,False,LOWER_PRIORITY
2023,NY,36061,36061013603,36061013603,Depression among adults,DEPRESSION,Crude prevalence,20.2,18.3,22.5,3709,"{'type': 'Point', 'coordinates': [-73.9508479, 40.7728408]}","New York County, NY",-73.9508479,40.7728408,749.2180000000001,96.6231647634584,85.54649265905383,91.08482871125611,True,True,5.763169743358847,80.91517857142857,0.0,2.083333333333333,171912.0,True,False,19.570247933884296,93.75206611570248,0.5289256198347108,20.330578512396695,7.933884297520661,28.423140495867763,17.619834710743802,False,False,91.08482871125611,54.352331710999955,57.98347107438017,False,False,False,False,0.6053467966404078,10128,13.0,39.0,18.0,41.0,27.0,51.0,33.0,52.0,False,False,False,8.352365415986949,32.93637846655791,20.644371941272432,10.70146818923328,False,False,False,False,24.910003436447123,20.99173553719008,34.34246963180672,False,False,False,False,False,LOWER_PRIORITY
2023,NY,36061,36061015802,36061015802,Depression among adults,DEPRESSION,Crude prevalence,22.4,20.3,24.9,4076,"{'type': 'Point', 'coordinates': [-73.9504649, 40.7865243]}","New York County, NY",-73.9504649,40.7865243,913.0239999999999,99.29853181076672,93.3115823817292,96.30505709624796,True,True,8.623693379790941,88.96164639850326,2.92022792022792,18.33489242282507,95391.0,True,False,31.96694214876033,98.3801652892562,24.925619834710744,94.77685950413223,39.63636363636363,57.93719008264463,61.81818181818181,False,False,96.30505709624796,79.06161945721489,90.44628099173553,True,True,False,False,0.34185521028007315,10128,13.0,39.0,18.0,41.0,27.0,51.0,33.0,52.0,False,False,False,3.066884176182708,32.93637846655791,18.00163132137031,5.823817292006525,False,False,False,False,22.950873953672232,18.34710743801653,48.13504914187103,False,False,False,False,False,LOWER_PRIORITY
2023,NJ,34003,34003018101,34003018101,Depression among adults,DEPRESSION,Crude prevalence,15.1,12.9,17.4,3798,"{'type': 'Point', 'coordinates': [-73.9982783, 40.8125076]}","Bergen County, NJ",-73.9982783,40.8125076,573.4979999999999,38.613376835236544,66.13376835236542,52.373572593800986,False,False,21.423891679405983,31.74123337363966,22.930770910679186,5.985489721886336,47005.0,True,False,74.77685950413223,41.71900826446281,95.83471074380165,55.14049586776859,88.09917355371901,71.11404958677687,81.12396694214877,True,False,52.373572593800986,66.74876976797488,77.75206611570248,False,False,False,False,1.879724439718447,10025,13.0,39.0,17.0,41.0,27.0,51.0,33.0,52.0,False,False,False,28.97226753670473,32.93637846655791,30.954323001631323,24.208809135399672,False,False,False,False,43.385307749029714,53.5206611570248,50.980437625551076,False,False,False,False,False,LOWER_PRIORITY
2023,NJ,34003,34003010200,34003010200,Depression among adults,DEPRESSION,Crude prevalence,14.7,12.7,16.9,3350,"{'type': 'Point', 'coordinates': [-73.9949154, 40.9400177]}","Bergen County, NJ",-73.9949154,40.9400177,492.45,30.97879282218597,52.98531810766721,41.98205546492659,False,False,6.240786240786241,13.156408808582723,9.231905465288035,5.081874647092039,107005.0,True,False,21.917355371900825,20.363636363636363,73.35537190082646,47.371900826446286,30.3801652892562,38.67768595041323,31.33884297520661,False,False,41.98205546492659,36.660449220066596,28.56198347107438,False,False,False,False,6.361820580882816,10034,0.0,0.0,6.0,10.0,25.0,49.0,32.0,52.0,True,False,False,79.8042414355628,76.6068515497553,78.20554649265905,83.94779771615009,True,False,False,False,48.96647435543807,63.63636363636363,56.25489059361224,False,False,False,False,False,LOWER_PRIORITY
2023,NJ,34003,34003019103,34003019103,Depression among adults,DEPRESSION,Crude prevalence,11.8,10.2,13.6,3389,"{'type': 'Point', 'coordinates': [-73.9727789, 40.8631054]}","Bergen County, NJ",-73.9727789,40.8631054,399.90200000000004,2.5774877650897228,37.32463295269168,19.9510603588907,False,False,7.870582836163377,17.34831460674157,2.088113813675998,4.49438202247191,74951.0,True,False,28.52892561983471,25.48760330578512,16.462809917355372,42.74380165289256,61.15702479338842,34.87603305785124,25.85123966942149,False,False,19.9510603588907,22.901150014156094,9.256198347107437,False,False,False,False,2.3555848914267488,10032,5.0,8.0,17.0,41.0,26.0,50.0,33.0,52.0,False,False,False,36.8026101141925,32.93637846655791,34.8694942903752,29.200652528548126,False,False,False,False,16.440408500679226,9.289256198347108,19.22842543782778,False,False,False,False,False,LOWER_PRIORITY
2023,NJ,34003,34003004002,34003004002,Depression among adults,DEPRESSION,Crude prevalence,14.1,12.3,16.3,4183,"{'type': 'Point', 'coordinates': [-74.0289908, 40.8718323]}","Bergen County, NJ",-74.0289908,40.8718323,589.803,20.0326264274062,68.51549755301795,44.274061990212076,False,False,4.034416826003824,16.381418092909534,13.87404580152672,2.689486552567237,97750.0,True,False,11.669421487603305,24.264462809917354,86.80991735537191,26.347107438016533,37.63636363636363,37.345454545454544,29.487603305785125,False,False,44.274061990212076,36.8808326479986,28.958677685950413,False,False,False,False,5.105613494854065,10032,0.0,0.0,16.0,41.0,26.0,50.0,33.0,52.0,True,False,False,70.79934747145188,32.93637846655791,51.8678629690049,59.086460032626434,False,False,False,False,41.36503054137178,49.917355371900825,44.02256885928843,False,False,False,False,False,LOWER_PRIORITY
2023,NJ,34003,34003015300,34003015300,Depression among adults,DEPRESSION,Crude prevalence,13.5,11.7,15.5,4878,"{'type': 'Point', 'coordinates': [-73.9867428, 40.8963444]}","Bergen County, NJ",-73.9867428,40.8963444,658.53,11.761827079934747,77.45513866231649,44.60848287112562,False,False,6.373098478783026,10.988483685220729,5.348278622898318,5.902111324376199,100625.0,True,False,22.479338842975206,17.487603305785125,47.371900826446286,54.18181818181819,35.37190082644628,35.37851239669421,26.413223140495866,False,False,44.60848287112562,35.510853005810745,26.512396694214875,False,False,False,False,3.9675408221706316,10034,3.0,4.0,13.0,34.0,25.0,49.0,32.0,52.0,False,False,False,58.923327895595435,52.80587275693311,55.864600326264274,64.53507340946166,False,False,False,False,41.36398756070219,49.88429752066116,45.523735051838266,False,False,False,False,False,LOWER_PRIORITY
2023,NJ,34003,34003015401,34003015401,Depression among adults,DEPRESSION,Crude prevalence,13.6,11.7,15.7,3884,"{'type': 'Point', 'coordinates': [-73.975734, 40.8957936]}","Bergen County, NJ",-73.975734,40.8957936,528.224,13.164763458401305,59.216965742251226,36.190864600326265,False,False,15.923129718599863,20.22099447513812,19.273301737756714,8.287292817679557,60809.0,True,False,59.80165289256198,28.92561983471074,93.48760330578513,69.15702479338843,76.3305785123967,65.5404958677686,74.47933884297521,False,False,36.190864600326265,55.33510172165074,60.16528925619835,False,False,False,False,3.46858038149012,10034,3.0,4.0,14.0,37.0,26.0,50.0,32.0,52.0,False,False,False,52.33278955954322,50.831973898858074,51.58238172920065,58.727569331158236,False,False,False,False,59.44208270343981,78.94214876033058,59.44642929367829,False,False,False,False,False,LOWER_PRIORITY
2023,NJ,34003,34003013002,34003013002,Depression among adults,DEPRESSION,Crude prevalence,13.7,11.8,15.8,5264,"{'type': 'Point', 'coordinates': [-73.9644827, 40.8450519]}","Bergen County, NJ",-73.9644827,40.8450519,721.168,14.747145187601957,83.4257748776509,49.08646003262643,False,False,9.493483412322275,11.323196376577158,6.959869687546276,5.143966353930766,106199.0,True,False,35.900826446280995,17.983471074380162,60.52892561983471,47.735537190082646,31.074380165289256,38.64462809917355,31.223140495867767,False,False,49.08646003262643,40.1548002642471,33.917355371900825,False,False,False,False,1.266958408108917,10032,9.0,25.0,17.0,41.0,26.0,50.0,33.0,52.0,False,False,False,18.499184339314844,32.93637846655791,25.717781402936378,18.02610114192496,False,False,False,False,24.726457053134325,20.59504132231405,25.971728256912893,False,False,False,False,False,LOWER_PRIORITY
